sample_id,session_type,emotion,text_category,scale,reference_audio_file,target_audio_file,user_comment,timestamp,evaluation_duration_ms
v002_fear_match_scale_1.0,expressivity_none,fear,match,1.0,v002_fear_match_scale_ref.wav,v002_fear_match_scale_scale_1.0.wav,target sample 목소리가 좀 리버브가 들어간듯한느낌,2025-08-26 17:32:51.526+00,73815
v002_angry_match_scale_2.0,expressivity_none,angry,match,2.0,v002_angry_match_scale_ref.wav,v002_angry_match_scale_scale_2.0.wav,"reference audio 재생 처음에 소리 튐 현상. 
Target's emotion: 높낮이만 심하고 화가난 느낌이 안사는듯",2025-08-26 17:34:07.313+00,149602
v002_surprise_neutral_scale_2.0,expressivity_none,surprise,neutral,2.0,v002_surprise_neutral_scale_ref.wav,v002_surprise_neutral_scale_scale_2.0.wav,Reference audio quality 심각 | Target sample: 전혀 감정 안담김,2025-08-26 17:34:56.927+00,199216
v002_happy_match_scale_2.0,expressivity_none,happy,match,2.0,v002_happy_match_scale_ref.wav,v002_happy_match_scale_scale_2.0.wav,Reference audio가 더 해피하다,2025-08-26 17:36:11.029+00,273318
v002_happy_neutral_scale_1.5,expressivity_none,happy,neutral,1.5,v002_happy_neutral_scale_ref.wav,v002_happy_neutral_scale_scale_1.5.wav,레퍼런스 오디오가 단어 스킵했음 ('to' between remember and turn) 리서치에 리포트해야할듯,2025-08-26 17:40:37.244+00,539533
v002_sad_match_scale_1.0,expressivity_none,sad,match,1.0,v002_sad_match_scale_ref.wav,v002_sad_match_scale_scale_1.0.wav,레퍼런스 오디오: 음성 처음이 짤림 (리서치 공유 필요),2025-08-26 17:42:39.479+00,661768
v001_excitement_match_scale_0.5,expressivity_none,excitement,match,0.5,v001_excitement_match_scale_ref.wav,v001_excitement_match_scale_scale_0.5.wav,타겟샘플: 발화가 너무 빨라서 부자연스러움,2025-08-26 17:45:23.51+00,825799
v002_happy_match_scale_0.5,expressivity_none,happy,match,0.5,v002_happy_match_scale_ref.wav,v002_happy_match_scale_scale_0.5.wav,레퍼런스가 더 해피함,2025-08-26 17:47:00.801+00,923090
v002_tonedown_match_scale_0.5,expressivity_none,tonedown,match,0.5,v002_tonedown_match_scale_ref.wav,v002_tonedown_match_scale_scale_0.5.wav,레퍼런스 오디오 재생이 안됨,2025-08-26 17:47:50.632+00,972921
v001_toneup_match_scale_2.0,expressivity_0.6,toneup,match,2.0,v001_toneup_match_scale_ref.wav,v001_toneup_match_scale_scale_2.0.wav,레퍼런스 음성 퀄리티 문제,2025-08-26 23:27:54.558+00,28797
