id,session_id,sample_id,scores,comment,timestamp,duration_ms
45,session_1756229497710_expressivity_none,v002_fear_match_scale_1.0,"{""emotion"":4,""quality"":5,""similarity"":6}",target sample 목소리가 좀 리버브가 들어간듯한느낌,2025-08-26 17:32:51.526+00,73815
46,session_1756229497710_expressivity_none,v002_angry_match_scale_2.0,"{""emotion"":5,""quality"":4,""similarity"":6}","reference audio 재생 처음에 소리 튐 현상. 
Target's emotion: 높낮이만 심하고 화가난 느낌이 안사는듯",2025-08-26 17:34:07.313+00,149602
47,session_1756229497710_expressivity_none,v002_surprise_neutral_scale_2.0,"{""emotion"":1,""quality"":6,""similarity"":7}",Reference audio quality 심각 | Target sample: 전혀 감정 안담김,2025-08-26 17:34:56.927+00,199216
48,session_1756229497710_expressivity_none,v002_happy_match_scale_2.0,"{""emotion"":5,""quality"":5,""similarity"":6}",Reference audio가 더 해피하다,2025-08-26 17:36:11.029+00,273318
49,session_1756229497710_expressivity_none,v002_furious_neutral_scale_3.0,"{""emotion"":2,""quality"":2,""similarity"":1}",,2025-08-26 17:39:21.483+00,463772
50,session_1756229497710_expressivity_none,v002_happy_neutral_scale_1.5,"{""emotion"":3,""quality"":6,""similarity"":6}",레퍼런스 오디오가 단어 스킵했음 ('to' between remember and turn) 리서치에 리포트해야할듯,2025-08-26 17:40:37.244+00,539533
51,session_1756229497710_expressivity_none,v002_sad_opposite_scale_3.0,"{""emotion"":5,""quality"":7,""similarity"":6}",,2025-08-26 17:41:16.455+00,578744
52,session_1756229497710_expressivity_none,v002_toneup_match_scale_0.5,"{""emotion"":6,""quality"":7,""similarity"":7}",,2025-08-26 17:41:40.527+00,602816
53,session_1756229497710_expressivity_none,v002_sad_match_scale_1.0,"{""emotion"":5,""quality"":6,""similarity"":5}",레퍼런스 오디오: 음성 처음이 짤림 (리서치 공유 필요),2025-08-26 17:42:39.479+00,661768
54,session_1756229497710_expressivity_none,v001_surprise_match_scale_1.0,"{""emotion"":6,""quality"":6,""similarity"":7}",,2025-08-26 17:43:06.579+00,688868
55,session_1756229497710_expressivity_none,v001_excitement_match_scale_0.5,"{""emotion"":5,""quality"":5,""similarity"":5}",타겟샘플: 발화가 너무 빨라서 부자연스러움,2025-08-26 17:45:23.51+00,825799
56,session_1756229497710_expressivity_none,v002_sad_match_scale_3.0,"{""emotion"":5,""quality"":4,""similarity"":4}",,2025-08-26 17:45:49.339+00,851628
57,session_1756229497710_expressivity_none,v002_furious_opposite_scale_1.0,"{""emotion"":6,""quality"":5,""similarity"":6}",,2025-08-26 17:46:07.601+00,869890
